age,job,marital,education,default,housing,loan,contact,day_of_week,campaign,pdays,poutcome,cons_price_idx,cons_conf_idx,prime_rate
42,blue-collar,married,basic.9y,unknown,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
41,management,married,basic.6y,no,no,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.857
34,technician,married,high.school,no,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
54,retired,married,high.school,unknown,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
48,blue-collar,married,basic.4y,no,yes,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
48,blue-collar,married,basic.6y,unknown,no,no,telephone,mon,3,999,nonexistent,93.994,-36.4,4.857
36,services,married,high.school,no,no,yes,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
54,management,married,basic.6y,unknown,yes,yes,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
44,admin.,married,high.school,no,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
41,management,married,university.degree,unknown,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
39,blue-collar,divorced,basic.9y,no,no,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.856
32,entrepreneur,married,basic.6y,no,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.856
38,blue-collar,divorced,unknown,no,no,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.856
50,technician,married,high.school,no,yes,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
20,entrepreneur,single,high.school,no,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
35,blue-collar,married,basic.6y,no,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.855
51,blue-collar,divorced,basic.9y,no,no,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.855
45,blue-collar,single,basic.9y,no,no,no,telephone,thu,3,999,nonexistent,93.994,-36.4,4.855
40,admin.,married,high.school,unknown,yes,no,telephone,thu,4,999,nonexistent,93.994,-36.4,4.855
35,blue-collar,married,professional.course,no,yes,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.855
31,technician,married,professional.course,no,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
33,admin.,divorced,university.degree,no,no,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.855
42,blue-collar,married,basic.9y,unknown,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
57,entrepreneur,married,high.school,unknown,yes,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
35,self-employed,married,professional.course,no,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.855
47,technician,divorced,university.degree,no,no,no,telephone,mon,3,999,nonexistent,93.994,-36.4,4.857
44,services,married,basic.4y,unknown,yes,no,telephone,mon,4,999,nonexistent,93.994,-36.4,4.857
29,blue-collar,married,basic.9y,no,no,no,telephone,mon,5,999,nonexistent,93.994,-36.4,4.857
33,blue-collar,married,basic.9y,no,no,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.857
38,blue-collar,single,university.degree,unknown,yes,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
32,admin.,divorced,high.school,no,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
41,technician,married,high.school,no,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.859
38,technician,single,professional.course,unknown,unknown,unknown,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
33,unemployed,divorced,basic.9y,no,no,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
33,entrepreneur,married,high.school,no,no,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.859
33,blue-collar,married,basic.9y,no,yes,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.859
34,technician,married,professional.course,unknown,no,yes,telephone,wed,4,999,nonexistent,93.994,-36.4,4.859
42,blue-collar,married,basic.4y,unknown,no,yes,telephone,wed,3,999,nonexistent,93.994,-36.4,4.859
39,blue-collar,married,basic.6y,unknown,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.86
33,technician,married,professional.course,no,no,no,telephone,thu,4,999,nonexistent,93.994,-36.4,4.86
35,technician,married,unknown,unknown,no,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.86
44,technician,married,professional.course,unknown,no,no,telephone,thu,5,999,nonexistent,93.994,-36.4,4.86
44,services,married,high.school,unknown,yes,no,telephone,thu,2,999,nonexistent,93.994,-36.4,4.86
32,services,married,high.school,no,no,yes,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
35,admin.,single,high.school,no,no,yes,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
44,management,single,university.degree,unknown,yes,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
44,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
52,management,married,professional.course,no,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
41,management,married,university.degree,no,no,no,telephone,fri,4,999,nonexistent,93.994,-36.4,4.859
38,blue-collar,single,university.degree,unknown,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
51,services,married,basic.6y,no,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
42,retired,married,basic.9y,unknown,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.859
39,admin.,single,high.school,unknown,yes,no,telephone,fri,16,999,nonexistent,93.994,-36.4,4.859
36,technician,married,basic.9y,no,no,no,telephone,fri,3,999,nonexistent,93.994,-36.4,4.859
44,management,married,high.school,no,yes,no,telephone,fri,3,999,nonexistent,93.994,-36.4,4.859
47,technician,married,professional.course,no,unknown,unknown,telephone,mon,1,999,nonexistent,93.994,-36.4,4.858
41,management,married,university.degree,no,no,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.858
48,blue-collar,married,basic.9y,no,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.858
34,blue-collar,married,basic.6y,no,yes,no,telephone,mon,2,999,nonexistent,93.994,-36.4,4.858
32,management,single,basic.4y,no,no,no,telephone,mon,7,999,nonexistent,93.994,-36.4,4.858
30,technician,single,professional.course,no,yes,no,telephone,mon,3,999,nonexistent,93.994,-36.4,4.858
29,blue-collar,single,professional.course,no,yes,no,telephone,mon,7,999,nonexistent,93.994,-36.4,4.858
45,technician,single,professional.course,no,yes,yes,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
47,blue-collar,married,unknown,unknown,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
53,blue-collar,married,basic.4y,unknown,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
35,services,single,basic.4y,no,yes,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.856
50,services,married,high.school,no,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
39,blue-collar,single,basic.9y,no,no,no,telephone,tue,3,999,nonexistent,93.994,-36.4,4.856
32,admin.,married,university.degree,no,no,yes,telephone,tue,3,999,nonexistent,93.994,-36.4,4.856
32,blue-collar,married,basic.9y,no,yes,no,telephone,tue,3,999,nonexistent,93.994,-36.4,4.856
57,self-employed,married,unknown,unknown,no,yes,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
36,services,married,high.school,no,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.856
39,blue-collar,married,basic.9y,no,no,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.858
30,entrepreneur,married,professional.course,no,no,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.858
57,services,divorced,high.school,no,yes,yes,telephone,wed,3,999,nonexistent,93.994,-36.4,4.858
46,housemaid,married,basic.4y,no,no,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.858
25,blue-collar,married,basic.9y,unknown,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.858
57,services,divorced,high.school,no,yes,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.858
41,blue-collar,divorced,basic.6y,no,yes,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.857
49,technician,married,professional.course,no,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.857
48,blue-collar,divorced,basic.9y,no,yes,yes,telephone,fri,3,999,nonexistent,93.994,-36.4,4.857
43,entrepreneur,married,basic.9y,unknown,yes,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.857
40,blue-collar,married,basic.9y,no,yes,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.857
43,management,married,high.school,no,no,no,telephone,fri,3,999,nonexistent,93.994,-36.4,4.857
37,technician,married,university.degree,unknown,no,no,telephone,fri,5,999,nonexistent,93.994,-36.4,4.857
49,technician,married,professional.course,no,no,no,telephone,fri,6,999,nonexistent,93.994,-36.4,4.857
47,entrepreneur,married,high.school,no,no,no,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
44,services,married,high.school,no,yes,yes,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
56,blue-collar,married,professional.course,no,yes,no,telephone,mon,4,999,nonexistent,93.994,-36.4,4.857
54,retired,married,basic.9y,no,no,yes,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
25,blue-collar,married,high.school,unknown,yes,yes,telephone,mon,6,999,nonexistent,93.994,-36.4,4.857
35,blue-collar,married,high.school,no,yes,yes,telephone,mon,1,999,nonexistent,93.994,-36.4,4.857
27,admin.,single,university.degree,no,yes,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
60,unknown,married,university.degree,no,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
57,management,divorced,university.degree,no,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
25,admin.,married,unknown,no,no,no,telephone,tue,1,999,nonexistent,93.994,-36.4,4.857
30,self-employed,married,basic.9y,no,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
42,housemaid,single,basic.4y,unknown,yes,no,telephone,tue,7,999,nonexistent,93.994,-36.4,4.857
54,retired,married,basic.4y,unknown,no,no,telephone,tue,2,999,nonexistent,93.994,-36.4,4.857
36,blue-collar,married,basic.4y,unknown,yes,no,telephone,wed,21,999,nonexistent,93.994,-36.4,4.857
41,services,divorced,basic.9y,no,yes,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.857
50,services,married,basic.4y,unknown,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.857
31,blue-collar,married,basic.9y,no,no,no,telephone,wed,4,999,nonexistent,93.994,-36.4,4.857
41,management,married,basic.6y,no,yes,no,telephone,wed,1,999,nonexistent,93.994,-36.4,4.857
53,technician,married,professional.course,unknown,no,no,telephone,wed,2,999,nonexistent,93.994,-36.4,4.857
34,admin.,single,high.school,no,no,no,telephone,wed,3,999,nonexistent,93.994,-36.4,4.857
39,admin.,married,university.degree,no,yes,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.86
34,self-employed,married,professional.course,no,no,no,telephone,thu,1,999,nonexistent,93.994,-36.4,4.86
30,blue-collar,single,basic.4y,unknown,yes,yes,telephone,thu,4,999,nonexistent,93.994,-36.4,4.86
25,admin.,married,university.degree,no,no,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.864
33,services,single,high.school,no,yes,no,telephone,fri,1,999,nonexistent,93.994,-36.4,4.864
43,blue-collar,married,basic.9y,unknown,no,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.864
29,technician,married,professional.course,no,no,no,telephone,fri,3,999,nonexistent,93.994,-36.4,4.864
57,services,divorced,high.school,no,yes,no,telephone,fri,2,999,nonexistent,93.994,-36.4,4.864
32,admin.,single,high.school,no,yes,no,telephone,fri,4,999,nonexistent,93.994,-36.4,4.864
38,technician,single,university.degree,no,no,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.865
34,services,single,professional.course,unknown,yes,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.865
58,admin.,divorced,university.degree,no,yes,no,telephone,mon,7,999,nonexistent,94.465,-41.8,4.865
27,blue-collar,married,basic.6y,unknown,yes,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.865
54,blue-collar,married,high.school,no,no,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.865
36,admin.,married,university.degree,no,yes,no,telephone,mon,2,999,nonexistent,94.465,-41.8,4.865
35,student,single,university.degree,unknown,yes,yes,telephone,mon,2,999,nonexistent,94.465,-41.8,4.865
59,retired,divorced,university.degree,no,no,no,telephone,mon,6,999,nonexistent,94.465,-41.8,4.865
58,technician,married,professional.course,no,yes,yes,telephone,tue,1,999,nonexistent,94.465,-41.8,4.864
43,blue-collar,married,basic.9y,no,no,yes,telephone,tue,1,999,nonexistent,94.465,-41.8,4.864
41,blue-collar,married,basic.6y,no,yes,no,telephone,tue,2,999,nonexistent,94.465,-41.8,4.864
43,admin.,divorced,high.school,no,no,no,telephone,tue,1,999,nonexistent,94.465,-41.8,4.864
24,admin.,single,high.school,no,no,no,telephone,tue,1,999,nonexistent,94.465,-41.8,4.864
57,admin.,divorced,unknown,unknown,no,no,telephone,tue,1,999,nonexistent,94.465,-41.8,4.864
41,management,married,university.degree,no,no,no,telephone,tue,6,999,nonexistent,94.465,-41.8,4.864
36,admin.,married,university.degree,no,yes,no,telephone,tue,11,999,nonexistent,94.465,-41.8,4.864
36,entrepreneur,married,basic.6y,unknown,no,no,telephone,wed,5,999,nonexistent,94.465,-41.8,4.864
29,admin.,married,high.school,no,yes,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
31,blue-collar,single,basic.9y,no,no,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
25,unknown,single,university.degree,no,no,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
32,admin.,single,high.school,no,yes,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
26,admin.,married,high.school,no,no,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
56,admin.,single,basic.9y,no,yes,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.864
30,blue-collar,married,basic.9y,no,yes,no,telephone,thu,1,999,nonexistent,94.465,-41.8,4.866
28,technician,single,professional.course,no,no,no,telephone,thu,2,999,nonexistent,94.465,-41.8,4.866
31,blue-collar,single,basic.4y,no,no,no,telephone,thu,3,999,nonexistent,94.465,-41.8,4.866
50,blue-collar,married,basic.4y,no,unknown,unknown,telephone,thu,2,999,nonexistent,94.465,-41.8,4.866
31,technician,single,university.degree,unknown,yes,no,telephone,thu,2,999,nonexistent,94.465,-41.8,4.866
29,services,single,high.school,no,yes,no,telephone,thu,3,999,nonexistent,94.465,-41.8,4.866
39,services,married,high.school,no,yes,no,telephone,fri,1,999,nonexistent,94.465,-41.8,4.967
30,blue-collar,married,basic.9y,no,unknown,unknown,telephone,fri,1,999,nonexistent,94.465,-41.8,4.967
31,blue-collar,single,high.school,no,no,no,telephone,fri,2,999,nonexistent,94.465,-41.8,4.967
32,blue-collar,married,basic.6y,no,no,no,telephone,fri,2,999,nonexistent,94.465,-41.8,4.967
30,blue-collar,married,basic.9y,no,yes,no,telephone,fri,1,999,nonexistent,94.465,-41.8,4.967
33,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,fri,1,999,nonexistent,94.465,-41.8,4.967
55,admin.,married,basic.4y,unknown,no,no,telephone,fri,9,999,nonexistent,94.465,-41.8,4.967
40,services,divorced,high.school,no,yes,no,telephone,fri,3,999,nonexistent,94.465,-41.8,4.967
34,admin.,married,basic.9y,no,yes,no,telephone,mon,3,999,nonexistent,94.465,-41.8,4.961
35,technician,married,professional.course,no,yes,yes,telephone,mon,4,999,nonexistent,94.465,-41.8,4.961
33,management,married,high.school,no,no,yes,telephone,mon,1,999,nonexistent,94.465,-41.8,4.961
27,entrepreneur,single,university.degree,no,yes,no,telephone,mon,3,999,nonexistent,94.465,-41.8,4.961
32,services,married,high.school,unknown,no,no,telephone,mon,3,999,nonexistent,94.465,-41.8,4.961
48,services,married,basic.6y,unknown,no,yes,telephone,mon,5,999,nonexistent,94.465,-41.8,4.961
29,admin.,married,professional.course,no,yes,no,telephone,wed,4,999,nonexistent,94.465,-41.8,4.959
30,self-employed,single,university.degree,no,no,no,telephone,wed,1,999,nonexistent,94.465,-41.8,4.959
32,admin.,single,high.school,no,yes,no,telephone,wed,1,999,nonexistent,94.465,-41.8,4.959
35,services,married,high.school,unknown,yes,no,telephone,thu,1,999,nonexistent,94.465,-41.8,4.958
59,blue-collar,married,basic.4y,unknown,yes,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.96
53,blue-collar,divorced,basic.4y,unknown,no,no,telephone,mon,1,999,nonexistent,94.465,-41.8,4.96
35,admin.,divorced,university.degree,no,no,no,telephone,mon,3,999,nonexistent,94.465,-41.8,4.96
34,admin.,married,university.degree,no,yes,no,telephone,mon,14,999,nonexistent,94.465,-41.8,4.96
54,technician,married,high.school,no,no,no,telephone,mon,5,999,nonexistent,94.465,-41.8,4.96
34,admin.,married,university.degree,no,yes,yes,telephone,tue,1,999,nonexistent,94.465,-41.8,4.961
33,services,married,high.school,unknown,yes,no,telephone,tue,3,999,nonexistent,94.465,-41.8,4.961
43,technician,married,professional.course,no,yes,no,telephone,tue,2,999,nonexistent,94.465,-41.8,4.961
36,blue-collar,married,university.degree,unknown,no,no,telephone,tue,2,999,nonexistent,94.465,-41.8,4.961
35,admin.,divorced,basic.9y,unknown,yes,no,telephone,wed,10,999,nonexistent,94.465,-41.8,4.962
28,admin.,single,university.degree,no,no,no,telephone,wed,3,999,nonexistent,94.465,-41.8,4.962
41,services,married,high.school,no,unknown,unknown,telephone,wed,1,999,nonexistent,94.465,-41.8,4.962
47,admin.,married,basic.9y,no,yes,no,telephone,wed,3,999,nonexistent,94.465,-41.8,4.962
35,admin.,divorced,university.degree,no,yes,no,telephone,wed,2,999,nonexistent,94.465,-41.8,4.962
32,self-employed,single,high.school,no,no,no,telephone,thu,1,999,nonexistent,94.465,-41.8,4.961
43,admin.,married,university.degree,no,no,no,telephone,thu,2,999,nonexistent,94.465,-41.8,4.961
28,blue-collar,married,basic.9y,no,no,no,telephone,thu,1,999,nonexistent,94.465,-41.8,4.961
55,retired,married,university.degree,unknown,yes,no,telephone,thu,1,999,nonexistent,94.465,-41.8,4.961
43,blue-collar,married,basic.9y,unknown,no,no,telephone,fri,23,999,nonexistent,94.465,-41.8,4.959
49,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,fri,1,999,nonexistent,94.465,-41.8,4.959
42,blue-collar,married,basic.6y,unknown,no,no,telephone,fri,2,999,nonexistent,94.465,-41.8,4.959
45,management,married,basic.9y,no,yes,no,telephone,fri,4,999,nonexistent,94.465,-41.8,4.959
36,self-employed,single,university.degree,no,no,no,telephone,fri,3,999,nonexistent,94.465,-41.8,4.959
37,blue-collar,married,basic.4y,unknown,no,no,telephone,fri,1,999,nonexistent,94.465,-41.8,4.959
54,blue-collar,divorced,basic.4y,unknown,no,no,telephone,fri,2,999,nonexistent,94.465,-41.8,4.959
29,technician,married,professional.course,no,yes,no,telephone,fri,1,999,nonexistent,94.465,-41.8,4.959
43,admin.,married,high.school,no,no,no,telephone,fri,10,999,nonexistent,94.465,-41.8,4.959
49,management,married,high.school,no,no,no,telephone,fri,13,999,nonexistent,94.465,-41.8,4.959
50,blue-collar,married,basic.4y,unknown,yes,yes,telephone,fri,3,999,nonexistent,94.465,-41.8,4.959
34,admin.,married,university.degree,no,yes,no,telephone,fri,6,999,nonexistent,94.465,-41.8,4.959
56,admin.,married,university.degree,no,no,no,telephone,fri,3,999,nonexistent,94.465,-41.8,4.959
35,admin.,married,university.degree,no,no,no,telephone,fri,4,999,nonexistent,94.465,-41.8,4.959
39,management,single,university.degree,no,no,no,telephone,mon,3,999,nonexistent,94.465,-41.8,4.958
34,admin.,married,university.degree,no,no,no,telephone,fri,2,999,nonexistent,94.465,-41.8,4.947
28,blue-collar,married,high.school,no,yes,no,telephone,thu,1,999,nonexistent,93.918,-42.7,4.966
38,blue-collar,married,high.school,no,yes,no,telephone,thu,1,999,nonexistent,93.918,-42.7,4.966
30,admin.,married,high.school,no,yes,no,cellular,fri,6,999,nonexistent,93.918,-42.7,4.959
52,management,married,professional.course,no,yes,no,cellular,mon,3,999,nonexistent,93.918,-42.7,4.96
32,services,single,high.school,no,no,no,cellular,mon,3,999,nonexistent,93.918,-42.7,4.96
29,services,married,high.school,no,yes,no,cellular,mon,1,999,nonexistent,93.918,-42.7,4.96
58,blue-collar,married,basic.4y,unknown,yes,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.96
24,services,married,high.school,no,yes,no,cellular,mon,4,999,nonexistent,93.918,-42.7,4.96
39,self-employed,married,university.degree,no,no,no,cellular,mon,1,999,nonexistent,93.918,-42.7,4.96
51,blue-collar,married,unknown,unknown,yes,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.96
39,management,divorced,university.degree,no,yes,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.962
29,admin.,single,high.school,no,no,no,cellular,tue,2,999,nonexistent,93.918,-42.7,4.962
32,services,divorced,high.school,unknown,yes,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.962
31,blue-collar,married,basic.6y,no,no,no,telephone,tue,3,999,nonexistent,93.918,-42.7,4.962
28,services,married,high.school,no,yes,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.962
31,admin.,single,professional.course,no,no,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.962
31,management,single,university.degree,no,no,no,cellular,wed,1,999,nonexistent,93.918,-42.7,4.962
31,admin.,single,high.school,no,no,no,cellular,wed,2,999,nonexistent,93.918,-42.7,4.962
41,blue-collar,single,basic.4y,unknown,unknown,unknown,cellular,wed,1,999,nonexistent,93.918,-42.7,4.962
33,blue-collar,married,basic.6y,no,no,no,telephone,wed,1,999,nonexistent,93.918,-42.7,4.962
32,technician,single,university.degree,no,yes,yes,telephone,wed,43,999,nonexistent,93.918,-42.7,4.962
32,technician,married,professional.course,no,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
36,admin.,divorced,university.degree,unknown,no,no,telephone,thu,1,999,nonexistent,93.918,-42.7,4.963
43,blue-collar,single,basic.9y,no,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
33,self-employed,married,basic.9y,unknown,no,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
31,admin.,married,high.school,no,no,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
27,admin.,single,high.school,no,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
31,technician,married,professional.course,no,no,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.963
37,blue-collar,married,basic.9y,unknown,yes,no,cellular,fri,2,999,nonexistent,93.918,-42.7,4.963
43,entrepreneur,divorced,professional.course,no,no,yes,cellular,fri,2,999,nonexistent,93.918,-42.7,4.963
35,admin.,single,university.degree,no,no,no,cellular,fri,2,999,nonexistent,93.918,-42.7,4.963
29,blue-collar,single,basic.9y,no,no,no,cellular,fri,2,999,nonexistent,93.918,-42.7,4.963
46,housemaid,married,basic.4y,unknown,no,no,cellular,fri,2,999,nonexistent,93.918,-42.7,4.963
27,blue-collar,single,basic.9y,no,yes,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
30,admin.,single,university.degree,no,yes,yes,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
30,services,married,basic.6y,no,yes,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
27,housemaid,married,high.school,no,yes,no,cellular,mon,3,999,nonexistent,93.918,-42.7,4.962
36,admin.,married,university.degree,no,yes,yes,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
36,admin.,married,university.degree,no,yes,no,telephone,mon,5,999,nonexistent,93.918,-42.7,4.962
42,technician,married,basic.9y,no,no,no,cellular,tue,3,999,nonexistent,93.918,-42.7,4.961
29,entrepreneur,married,basic.4y,no,no,no,cellular,tue,4,999,nonexistent,93.918,-42.7,4.961
33,housemaid,married,basic.9y,no,no,no,cellular,tue,4,999,nonexistent,93.918,-42.7,4.961
32,services,single,unknown,unknown,no,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.961
37,services,married,high.school,no,yes,no,cellular,tue,2,999,nonexistent,93.918,-42.7,4.961
34,technician,divorced,basic.6y,no,yes,no,cellular,tue,3,999,nonexistent,93.918,-42.7,4.961
48,admin.,single,university.degree,no,no,no,telephone,tue,7,999,nonexistent,93.918,-42.7,4.961
33,blue-collar,divorced,basic.9y,unknown,no,no,cellular,tue,5,999,nonexistent,93.918,-42.7,4.961
