age,job,marital,education,default,housing,loan,contact,day_of_week,campaign,pdays,poutcome,cons_price_idx,cons_conf_idx,prime_rate
59,retired,married,university.degree,unknown,no,no,cellular,wed,5,999,nonexistent,93.918,-42.7,4.957
49,blue-collar,divorced,unknown,unknown,no,no,cellular,wed,1,999,nonexistent,93.918,-42.7,4.957
33,blue-collar,married,basic.9y,no,yes,no,cellular,wed,11,999,nonexistent,93.918,-42.7,4.957
48,blue-collar,married,basic.6y,unknown,yes,no,cellular,wed,2,999,nonexistent,93.918,-42.7,4.957
31,admin.,single,basic.9y,no,no,no,cellular,wed,5,999,nonexistent,93.918,-42.7,4.957
47,blue-collar,married,basic.4y,unknown,yes,yes,cellular,thu,1,999,nonexistent,93.918,-42.7,4.958
27,blue-collar,single,basic.9y,no,no,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.958
24,admin.,single,high.school,unknown,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.958
42,housemaid,married,basic.9y,no,yes,yes,cellular,thu,1,999,nonexistent,93.918,-42.7,4.958
44,blue-collar,married,basic.6y,unknown,no,no,telephone,thu,4,999,nonexistent,93.918,-42.7,4.958
42,services,married,high.school,no,no,no,cellular,thu,4,999,nonexistent,93.918,-42.7,4.958
31,blue-collar,single,basic.9y,no,yes,yes,cellular,fri,2,999,nonexistent,93.918,-42.7,4.957
28,technician,married,basic.9y,no,yes,no,cellular,fri,2,999,nonexistent,93.918,-42.7,4.957
29,management,single,basic.9y,no,no,yes,cellular,fri,1,999,nonexistent,93.918,-42.7,4.957
31,technician,married,high.school,no,yes,no,cellular,fri,10,999,nonexistent,93.918,-42.7,4.957
35,blue-collar,married,basic.9y,no,yes,no,cellular,fri,4,999,nonexistent,93.918,-42.7,4.957
41,self-employed,married,basic.9y,unknown,no,no,cellular,fri,8,999,nonexistent,93.918,-42.7,4.957
43,admin.,married,high.school,no,no,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.96
32,admin.,single,high.school,unknown,no,yes,cellular,mon,4,999,nonexistent,93.918,-42.7,4.96
27,admin.,single,high.school,unknown,no,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.96
36,technician,married,basic.4y,no,no,no,cellular,mon,1,999,nonexistent,93.918,-42.7,4.96
44,admin.,single,basic.9y,no,yes,yes,cellular,mon,2,999,nonexistent,93.918,-42.7,4.96
40,self-employed,married,high.school,no,yes,no,telephone,mon,1,999,nonexistent,93.918,-42.7,4.96
28,technician,married,basic.9y,no,yes,no,cellular,mon,4,999,nonexistent,93.918,-42.7,4.96
29,admin.,married,high.school,no,yes,no,cellular,mon,3,999,nonexistent,93.918,-42.7,4.96
37,admin.,single,high.school,unknown,no,no,cellular,tue,6,999,nonexistent,93.918,-42.7,4.961
46,blue-collar,married,unknown,no,yes,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.961
42,entrepreneur,married,university.degree,no,yes,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.961
41,blue-collar,married,basic.9y,no,yes,no,cellular,tue,2,999,nonexistent,93.918,-42.7,4.961
28,technician,single,high.school,no,yes,no,cellular,tue,2,999,nonexistent,93.918,-42.7,4.961
30,admin.,single,university.degree,no,no,yes,cellular,tue,2,999,nonexistent,93.918,-42.7,4.961
41,blue-collar,married,basic.9y,no,no,no,cellular,tue,4,999,nonexistent,93.918,-42.7,4.961
36,blue-collar,married,basic.6y,no,yes,no,cellular,tue,4,999,nonexistent,93.918,-42.7,4.961
42,housemaid,married,basic.4y,unknown,no,yes,cellular,wed,1,999,nonexistent,93.918,-42.7,4.963
39,admin.,married,basic.6y,unknown,no,no,cellular,wed,1,999,nonexistent,93.918,-42.7,4.963
37,unemployed,single,basic.9y,unknown,yes,yes,cellular,wed,1,999,nonexistent,93.918,-42.7,4.963
36,blue-collar,married,basic.9y,no,no,yes,cellular,wed,1,999,nonexistent,93.918,-42.7,4.963
32,student,single,high.school,no,yes,no,cellular,thu,2,999,nonexistent,93.918,-42.7,4.962
59,admin.,married,basic.4y,unknown,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.962
36,management,married,unknown,unknown,yes,no,cellular,thu,1,999,nonexistent,93.918,-42.7,4.962
49,technician,married,professional.course,no,yes,no,cellular,thu,3,999,nonexistent,93.918,-42.7,4.962
38,admin.,single,university.degree,no,yes,yes,cellular,thu,3,999,nonexistent,93.918,-42.7,4.962
27,admin.,married,university.degree,no,no,yes,cellular,fri,2,999,nonexistent,93.918,-42.7,4.962
60,retired,married,basic.6y,unknown,no,no,cellular,fri,1,999,nonexistent,93.918,-42.7,4.962
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,fri,1,999,nonexistent,93.918,-42.7,4.962
55,retired,married,professional.course,no,yes,no,cellular,fri,8,999,nonexistent,93.918,-42.7,4.962
43,blue-collar,married,basic.9y,no,no,no,cellular,mon,6,999,nonexistent,93.918,-42.7,4.962
46,management,married,university.degree,no,no,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
40,blue-collar,married,professional.course,no,no,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
48,technician,married,unknown,no,yes,no,cellular,mon,2,999,nonexistent,93.918,-42.7,4.962
49,management,married,university.degree,unknown,yes,no,telephone,mon,12,999,nonexistent,93.918,-42.7,4.962
45,self-employed,divorced,university.degree,no,no,no,cellular,tue,4,999,nonexistent,93.918,-42.7,4.961
33,admin.,married,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.961
38,unemployed,married,basic.4y,unknown,no,no,cellular,tue,1,999,nonexistent,93.918,-42.7,4.961
57,admin.,divorced,university.degree,unknown,yes,yes,cellular,tue,6,999,nonexistent,93.918,-42.7,4.961
39,admin.,single,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.918,-42.7,4.963
34,technician,single,professional.course,unknown,yes,no,cellular,wed,2,999,nonexistent,93.918,-42.7,4.963
29,technician,married,university.degree,no,yes,no,cellular,wed,5,999,nonexistent,93.918,-42.7,4.963
45,unknown,single,high.school,no,yes,no,cellular,wed,3,999,nonexistent,93.918,-42.7,4.963
32,management,single,university.degree,no,no,no,cellular,wed,3,999,nonexistent,93.918,-42.7,4.963
24,admin.,single,high.school,no,yes,no,cellular,thu,3,999,nonexistent,93.918,-42.7,4.968
29,admin.,single,university.degree,no,no,no,cellular,thu,14,999,nonexistent,93.918,-42.7,4.968
28,admin.,single,university.degree,no,no,no,cellular,thu,2,999,nonexistent,93.918,-42.7,4.968
27,self-employed,married,university.degree,no,yes,no,telephone,thu,3,999,nonexistent,93.918,-42.7,4.968
22,unemployed,single,high.school,no,yes,no,cellular,thu,3,999,nonexistent,93.918,-42.7,4.968
48,blue-collar,married,professional.course,no,no,no,cellular,thu,25,999,nonexistent,93.918,-42.7,4.968
54,admin.,married,university.degree,unknown,yes,no,cellular,thu,5,999,nonexistent,93.918,-42.7,4.968
33,student,divorced,professional.course,no,no,no,cellular,mon,1,999,nonexistent,93.444,-36.1,4.97
34,admin.,single,university.degree,no,no,yes,cellular,mon,3,999,nonexistent,93.444,-36.1,4.97
52,technician,divorced,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.968
42,technician,married,high.school,no,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.968
34,technician,single,university.degree,no,yes,yes,cellular,wed,3,999,nonexistent,93.444,-36.1,4.967
37,management,married,university.degree,no,no,no,cellular,wed,2,999,nonexistent,93.444,-36.1,4.967
51,technician,married,high.school,unknown,unknown,unknown,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
32,admin.,single,university.degree,no,no,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
30,admin.,single,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
31,management,married,university.degree,no,yes,yes,cellular,wed,2,999,nonexistent,93.444,-36.1,4.967
31,admin.,married,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
33,technician,single,professional.course,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
33,technician,single,professional.course,no,no,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
48,blue-collar,married,unknown,no,yes,yes,cellular,wed,1,999,nonexistent,93.444,-36.1,4.967
52,blue-collar,married,basic.4y,unknown,yes,yes,cellular,wed,4,999,nonexistent,93.444,-36.1,4.967
33,technician,married,high.school,no,no,yes,cellular,thu,2,999,nonexistent,93.444,-36.1,4.968
31,services,married,professional.course,unknown,yes,no,cellular,thu,5,999,nonexistent,93.444,-36.1,4.968
39,management,married,university.degree,no,no,no,cellular,thu,6,999,nonexistent,93.444,-36.1,4.968
55,admin.,married,unknown,unknown,yes,no,cellular,thu,4,999,nonexistent,93.444,-36.1,4.968
44,blue-collar,married,professional.course,no,no,no,cellular,fri,4,999,nonexistent,93.444,-36.1,4.966
50,unemployed,married,professional.course,unknown,yes,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.966
44,management,married,university.degree,no,no,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.966
33,technician,single,professional.course,no,yes,yes,cellular,fri,1,999,nonexistent,93.444,-36.1,4.966
37,technician,divorced,professional.course,no,no,no,cellular,fri,2,999,nonexistent,93.444,-36.1,4.966
52,blue-collar,married,basic.6y,no,yes,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.966
34,technician,single,professional.course,no,no,no,cellular,fri,4,999,nonexistent,93.444,-36.1,4.966
33,technician,married,professional.course,no,no,no,cellular,fri,7,999,nonexistent,93.444,-36.1,4.966
30,blue-collar,married,high.school,no,yes,no,cellular,fri,3,999,nonexistent,93.444,-36.1,4.966
30,admin.,single,university.degree,no,no,no,cellular,mon,1,999,nonexistent,93.444,-36.1,4.965
30,admin.,single,university.degree,no,yes,no,cellular,mon,1,999,nonexistent,93.444,-36.1,4.965
50,management,married,university.degree,unknown,yes,no,cellular,mon,2,999,nonexistent,93.444,-36.1,4.965
38,admin.,married,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.966
53,admin.,divorced,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.966
42,technician,divorced,professional.course,no,yes,yes,cellular,tue,1,999,nonexistent,93.444,-36.1,4.966
31,unemployed,single,university.degree,no,yes,no,cellular,tue,2,999,nonexistent,93.444,-36.1,4.966
53,entrepreneur,married,basic.9y,unknown,yes,no,cellular,tue,5,999,nonexistent,93.444,-36.1,4.966
32,technician,married,university.degree,no,yes,no,cellular,tue,2,999,nonexistent,93.444,-36.1,4.966
35,technician,single,university.degree,no,yes,no,cellular,tue,3,999,nonexistent,93.444,-36.1,4.966
39,technician,divorced,professional.course,no,yes,yes,cellular,tue,2,999,nonexistent,93.444,-36.1,4.966
45,admin.,married,high.school,unknown,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.966
41,technician,married,professional.course,no,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.966
49,blue-collar,married,basic.9y,unknown,no,no,cellular,tue,2,999,nonexistent,93.444,-36.1,4.966
35,technician,married,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.965
52,admin.,married,high.school,no,no,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.965
57,technician,divorced,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.965
30,admin.,married,university.degree,no,no,no,cellular,wed,2,999,nonexistent,93.444,-36.1,4.965
53,services,married,high.school,unknown,yes,no,cellular,thu,1,999,nonexistent,93.444,-36.1,4.964
34,technician,single,university.degree,no,yes,no,cellular,thu,1,999,nonexistent,93.444,-36.1,4.964
47,technician,married,university.degree,no,yes,no,cellular,thu,2,999,nonexistent,93.444,-36.1,4.964
53,technician,married,professional.course,no,yes,no,cellular,thu,2,999,nonexistent,93.444,-36.1,4.964
54,technician,married,professional.course,no,yes,yes,cellular,thu,2,999,nonexistent,93.444,-36.1,4.964
32,technician,single,university.degree,no,yes,no,cellular,thu,2,999,nonexistent,93.444,-36.1,4.964
30,admin.,married,university.degree,no,no,no,cellular,mon,3,999,nonexistent,93.444,-36.1,4.963
49,services,married,basic.4y,unknown,no,no,cellular,mon,2,999,nonexistent,93.444,-36.1,4.963
38,technician,divorced,university.degree,unknown,yes,no,cellular,mon,2,999,nonexistent,93.444,-36.1,4.963
35,housemaid,single,professional.course,no,yes,yes,cellular,mon,1,999,nonexistent,93.444,-36.1,4.963
37,admin.,married,professional.course,unknown,yes,yes,cellular,mon,1,999,nonexistent,93.444,-36.1,4.963
54,blue-collar,married,basic.9y,no,yes,no,cellular,mon,1,999,nonexistent,93.444,-36.1,4.963
30,technician,single,university.degree,no,no,no,cellular,mon,3,999,nonexistent,93.444,-36.1,4.963
34,admin.,single,university.degree,no,yes,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.963
55,blue-collar,married,basic.4y,unknown,no,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.963
35,admin.,single,university.degree,no,yes,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.963
31,technician,single,professional.course,no,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.963
39,admin.,single,university.degree,no,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.963
34,technician,married,high.school,unknown,no,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.963
32,admin.,single,university.degree,no,yes,no,cellular,tue,2,999,nonexistent,93.444,-36.1,4.963
36,unemployed,single,professional.course,no,yes,yes,telephone,tue,1,999,nonexistent,93.444,-36.1,4.963
53,self-employed,married,basic.4y,no,no,no,cellular,tue,11,999,nonexistent,93.444,-36.1,4.963
33,admin.,single,university.degree,no,yes,yes,cellular,tue,4,999,nonexistent,93.444,-36.1,4.963
31,admin.,married,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.444,-36.1,4.964
31,unemployed,married,university.degree,no,yes,no,cellular,wed,9,999,nonexistent,93.444,-36.1,4.964
41,admin.,divorced,university.degree,no,yes,no,cellular,wed,2,999,nonexistent,93.444,-36.1,4.964
59,retired,married,high.school,no,yes,no,cellular,wed,5,999,nonexistent,93.444,-36.1,4.964
36,admin.,married,university.degree,no,yes,no,cellular,wed,3,999,nonexistent,93.444,-36.1,4.964
46,self-employed,married,university.degree,no,no,yes,cellular,thu,3,999,nonexistent,93.444,-36.1,4.963
30,technician,married,high.school,no,no,no,cellular,thu,2,999,nonexistent,93.444,-36.1,4.963
57,technician,married,university.degree,no,no,no,cellular,thu,1,999,nonexistent,93.444,-36.1,4.963
30,technician,single,university.degree,no,yes,yes,cellular,fri,1,999,nonexistent,93.444,-36.1,4.964
31,blue-collar,married,basic.4y,no,no,no,cellular,fri,2,999,nonexistent,93.444,-36.1,4.964
32,admin.,single,university.degree,no,yes,yes,cellular,fri,3,999,nonexistent,93.444,-36.1,4.964
57,self-employed,married,university.degree,unknown,yes,no,cellular,mon,2,999,nonexistent,93.444,-36.1,4.965
49,blue-collar,married,unknown,unknown,yes,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.965
52,blue-collar,married,basic.4y,no,yes,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.965
29,admin.,single,university.degree,no,no,no,cellular,mon,4,999,nonexistent,93.444,-36.1,4.965
40,admin.,married,university.degree,no,yes,no,cellular,tue,3,999,nonexistent,93.444,-36.1,4.965
37,housemaid,married,basic.4y,unknown,yes,no,cellular,tue,1,999,nonexistent,93.444,-36.1,4.965
57,retired,married,basic.9y,no,yes,yes,cellular,tue,4,999,nonexistent,93.444,-36.1,4.965
51,admin.,married,university.degree,no,yes,no,cellular,tue,7,999,nonexistent,93.444,-36.1,4.965
47,management,married,university.degree,no,yes,no,cellular,tue,8,999,nonexistent,93.444,-36.1,4.965
38,admin.,married,university.degree,no,yes,no,cellular,tue,6,999,nonexistent,93.444,-36.1,4.965
47,technician,divorced,high.school,no,yes,no,cellular,wed,3,999,nonexistent,93.444,-36.1,4.964
39,technician,married,professional.course,no,no,no,cellular,wed,14,999,nonexistent,93.444,-36.1,4.964
37,technician,married,university.degree,no,no,no,cellular,thu,1,999,nonexistent,93.444,-36.1,4.962
35,technician,married,university.degree,unknown,no,no,cellular,thu,5,999,nonexistent,93.444,-36.1,4.962
42,management,married,university.degree,no,yes,no,cellular,thu,4,999,nonexistent,93.444,-36.1,4.962
35,technician,married,university.degree,no,yes,no,cellular,thu,10,999,nonexistent,93.444,-36.1,4.962
43,admin.,married,university.degree,no,yes,no,cellular,thu,13,999,nonexistent,93.444,-36.1,4.962
51,blue-collar,married,basic.9y,unknown,no,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.963
33,technician,single,university.degree,no,no,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.963
30,admin.,married,university.degree,no,yes,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.963
53,self-employed,married,university.degree,no,no,no,cellular,fri,1,999,nonexistent,93.444,-36.1,4.963
29,technician,single,university.degree,no,no,no,telephone,fri,1,999,nonexistent,93.444,-36.1,4.963
38,admin.,married,university.degree,no,yes,no,telephone,fri,1,999,nonexistent,93.444,-36.1,4.963
56,unknown,married,unknown,no,no,no,telephone,fri,1,999,nonexistent,93.798,-40.4,5.045
59,admin.,married,university.degree,no,no,no,telephone,tue,1,999,nonexistent,93.798,-40.4,4.968
39,blue-collar,married,basic.9y,no,yes,no,telephone,fri,1,999,nonexistent,93.798,-40.4,4.918
26,admin.,single,university.degree,no,yes,no,telephone,mon,1,999,nonexistent,93.798,-40.4,4.912
31,admin.,single,university.degree,no,yes,no,telephone,tue,1,999,nonexistent,93.798,-40.4,4.86
38,entrepreneur,married,basic.4y,no,no,no,telephone,fri,1,999,nonexistent,93.798,-40.4,4.76
25,management,married,university.degree,no,yes,no,telephone,wed,1,999,nonexistent,93.2,-42,4.663
27,self-employed,married,professional.course,no,no,no,telephone,wed,1,999,nonexistent,93.2,-42,4.663
41,admin.,single,high.school,no,yes,no,telephone,thu,1,999,nonexistent,93.2,-42,4.592
27,student,single,university.degree,no,yes,no,telephone,mon,1,999,nonexistent,93.2,-42,4.406
36,admin.,married,high.school,no,yes,no,telephone,wed,1,999,failure,93.2,-42,4.286
48,services,married,unknown,no,no,no,cellular,mon,1,999,nonexistent,93.2,-42,4.191
47,services,divorced,high.school,no,yes,no,cellular,mon,1,999,nonexistent,93.2,-42,4.191
49,blue-collar,divorced,high.school,no,no,no,telephone,mon,1,999,nonexistent,93.2,-42,4.191
35,entrepreneur,single,basic.9y,no,yes,no,cellular,mon,2,999,nonexistent,93.2,-42,4.191
42,admin.,single,high.school,no,yes,no,cellular,mon,1,999,failure,93.2,-42,4.191
57,technician,married,professional.course,no,no,no,cellular,mon,2,999,nonexistent,93.2,-42,4.191
35,blue-collar,divorced,high.school,no,no,yes,cellular,mon,2,999,failure,93.2,-42,4.191
45,admin.,married,basic.9y,no,yes,no,cellular,mon,3,999,nonexistent,93.2,-42,4.191
51,admin.,married,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.2,-42,4.153
37,self-employed,divorced,basic.9y,no,yes,no,cellular,tue,1,999,nonexistent,93.2,-42,4.153
51,technician,married,unknown,no,no,no,cellular,tue,1,999,nonexistent,93.2,-42,4.153
39,management,single,high.school,unknown,no,no,cellular,tue,1,999,failure,93.2,-42,4.153
52,management,married,university.degree,no,unknown,unknown,cellular,tue,1,999,nonexistent,93.2,-42,4.153
40,management,married,university.degree,no,no,no,cellular,tue,2,999,failure,93.2,-42,4.153
29,management,single,university.degree,no,no,no,cellular,tue,1,999,nonexistent,93.2,-42,4.153
46,self-employed,married,basic.6y,unknown,yes,no,cellular,tue,1,999,failure,93.2,-42,4.153
51,blue-collar,married,basic.4y,unknown,no,no,cellular,tue,1,999,nonexistent,93.2,-42,4.153
49,admin.,married,university.degree,no,no,no,cellular,tue,1,999,failure,93.2,-42,4.153
35,technician,married,professional.course,no,no,no,cellular,tue,3,999,nonexistent,93.2,-42,4.153
41,technician,married,basic.9y,no,yes,no,telephone,tue,2,999,failure,93.2,-42,4.153
41,blue-collar,married,professional.course,unknown,yes,no,cellular,tue,2,999,nonexistent,93.2,-42,4.153
38,self-employed,married,professional.course,no,no,no,cellular,tue,2,999,nonexistent,93.2,-42,4.153
34,technician,single,professional.course,no,yes,no,cellular,tue,2,999,nonexistent,93.2,-42,4.153
39,blue-collar,married,basic.9y,no,yes,no,cellular,tue,4,999,failure,93.2,-42,4.153
31,technician,married,university.degree,no,no,no,cellular,wed,1,999,failure,93.2,-42,4.12
30,technician,married,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
33,services,single,high.school,no,yes,no,cellular,wed,2,999,nonexistent,93.2,-42,4.12
47,unemployed,married,professional.course,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
32,entrepreneur,married,high.school,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
33,technician,married,university.degree,no,no,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
30,blue-collar,married,basic.9y,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
36,entrepreneur,single,university.degree,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
29,management,single,university.degree,no,no,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
29,blue-collar,single,basic.9y,no,yes,no,cellular,wed,1,999,nonexistent,93.2,-42,4.12
36,management,married,university.degree,no,yes,no,cellular,wed,2,999,nonexistent,93.2,-42,4.12
30,admin.,married,university.degree,no,yes,no,cellular,wed,5,999,nonexistent,93.2,-42,4.12
35,admin.,married,university.degree,no,yes,yes,cellular,wed,2,999,nonexistent,93.2,-42,4.12
56,blue-collar,divorced,basic.9y,no,yes,no,cellular,wed,3,999,nonexistent,93.2,-42,4.12
37,entrepreneur,married,university.degree,no,no,no,telephone,wed,2,999,failure,93.2,-42,4.12
52,management,married,university.degree,no,yes,no,cellular,wed,3,999,nonexistent,93.2,-42,4.12
36,management,divorced,high.school,no,no,yes,cellular,wed,2,999,nonexistent,93.2,-42,4.12
29,blue-collar,married,high.school,no,yes,no,telephone,thu,3,999,nonexistent,93.2,-42,4.076
46,unemployed,married,basic.6y,no,yes,no,cellular,thu,4,999,nonexistent,93.2,-42,4.076
53,technician,divorced,high.school,no,no,no,cellular,thu,1,999,nonexistent,93.2,-42,4.076
30,technician,married,university.degree,no,no,yes,cellular,thu,1,999,failure,93.2,-42,4.076
50,blue-collar,married,professional.course,unknown,no,no,cellular,thu,1,999,nonexistent,93.2,-42,4.076
32,unemployed,married,high.school,no,yes,no,cellular,thu,1,999,nonexistent,93.2,-42,4.076
44,admin.,single,university.degree,no,yes,no,cellular,thu,4,999,nonexistent,93.2,-42,4.076
56,blue-collar,married,basic.9y,no,yes,no,cellular,thu,1,999,failure,93.2,-42,4.076
30,admin.,married,university.degree,no,yes,no,cellular,thu,3,999,nonexistent,93.2,-42,4.076
30,blue-collar,single,basic.9y,unknown,yes,no,cellular,thu,2,999,nonexistent,93.2,-42,4.076
47,entrepreneur,divorced,basic.9y,no,no,no,cellular,thu,2,999,nonexistent,93.2,-42,4.076
33,technician,divorced,professional.course,no,yes,no,cellular,thu,3,999,failure,93.2,-42,4.076
44,admin.,single,university.degree,no,yes,yes,cellular,thu,4,999,nonexistent,93.2,-42,4.076
29,admin.,single,university.degree,no,yes,yes,cellular,thu,1,999,nonexistent,93.2,-42,4.076
37,blue-collar,divorced,professional.course,no,yes,no,cellular,thu,1,999,nonexistent,93.2,-42,4.076
35,admin.,single,university.degree,no,yes,no,cellular,thu,2,999,failure,93.2,-42,4.076
33,blue-collar,married,basic.9y,unknown,yes,no,cellular,thu,1,999,nonexistent,93.2,-42,4.076
41,blue-collar,married,basic.4y,no,no,no,cellular,thu,3,999,failure,93.2,-42,4.076
39,services,single,university.degree,unknown,yes,no,cellular,thu,3,999,nonexistent,93.2,-42,4.076
36,self-employed,married,basic.9y,no,yes,yes,cellular,thu,3,999,nonexistent,93.2,-42,4.076
55,unemployed,married,university.degree,no,yes,no,cellular,thu,2,999,nonexistent,93.2,-42,4.076
46,management,single,university.degree,no,no,yes,cellular,thu,8,999,nonexistent,93.2,-42,4.076
32,admin.,single,university.degree,no,no,yes,cellular,thu,2,999,failure,93.2,-42,4.076
33,management,single,university.degree,no,no,no,cellular,thu,3,999,nonexistent,93.2,-42,4.076
34,admin.,married,high.school,no,no,no,cellular,thu,4,999,nonexistent,93.2,-42,4.076
39,admin.,married,university.degree,no,yes,no,telephone,thu,4,999,nonexistent,93.2,-42,4.076
49,technician,married,basic.4y,no,yes,no,cellular,fri,3,999,nonexistent,93.2,-42,4.021
